city_norm,edc_type,edc_first_report_year
LINCOLN PARK,B,2008
LINDALE,A,1997
LINDEN,A&B,1997
LITTLE ELM,A&B,1997
LITTLEFIELD,A&B,1997
LIVE OAK,B,1997
LLANO,B,1997
LOCKHART,B,1997
LOCKNEY,B,2002
LONE OAK,B,1998
LONE STAR,B,1999
LONGVIEW,A&B,1997
LORENA,B,1997
LOS FRESNOS,B,1997
LOS INDIOS,A&B,2014
LOTT,B,1999
LOWRY CROSSING,B,2012
LUBBOCK,A,2005
LUFKIN,B,2005
LULING,B,1997
LUMBERTON,B,1997
LYFORD,A&B,2013
MABANK,B,1997
"MABANK, TX",B,2000
MAGNOLIA,A&B,1997
MALAKOFF,B,2010
MALONE,B,2002
MANOR,B,2005
MANSFIELD,A&B,1997
MANVEL,B,2000
MARBLE FALLS,A&B,1997
MARFA,B,2003
MARQUEZ,B,2008
MARSHALL,A,1997
MATADOR,A&B,2003
MATHIS,B,1998
MAUD,A,1997
MAYPEARL,A&B,2008
MCALLEN,B,1998
MCCAMEY,B,2002
MCGREGOR,B,1997
MCKINNEY,A&B,1997
MCLEAN,A&B,1998
MEADOWS PLACE,A&B,1997
MELISSA,A&B,1997
MEMPHIS,A&B,1997
MENARD,A,1997
MERCEDES,A,1997
MERIDIAN,B,1998
MERKEL,B,1997
MESQUITE,B,2000
MEXIA,B,1999
MEXIA/ MEXIA ECONOMIC DEVELOPM,B,2022
MIAMI,A&B,2000
MIDLAND,A&B,2000
MIDLOTHIAN,A&B,1999
MILAM,B,2001
MILES,B,2009
MINEOLA,B,1997
MINERAL WELLS,B,2015
MISSION,A&B,1997
MONAHANS,A,1997
MONT BELVIEU,B,2000
MONTGOMERY,B,1997
MOODY,B,2012
MORGAN'S POINT,B,2003
MORGAN'S POINT RESORT,B,2011
MORGANS POINT,B,2017
MORGANS POINT RESORT,B,2017
MORTON,B,2003
MOUNT ENTERPRISE,B,2002
MOUNT PLEASANT,A,1997
MOUNT VERNON,B,1997
MUENSTER,B,1998
MULESHOE,A&B,1997
MUNDAY,A&B,1997
MURCHISON,B,1999
MURPHY,A&B,2004
NAPLES,B,2012
NASH,A,1997
NASSAU BAY,B,1998
NAVASOTA,B,1997
NEDERLAND,B,1997
NEEDVILLE,B,1997
NEVADA,B,2005
NEW BOSTON,A&B,1997
NEW BRAUNFELS,A&B,1997
NEW DEAL,B,2000
NEWTON,A&B,1997
NOCONA,A&B,1997
NOLANVILLE,B,2010
NORTH RICHLAND HILLS,B,1997
NORTHLAKE,A&B,2009
OAK LEAF,B,2003
OAK POINT,B,2007
OAK RIDGE NORTH,B,2001
ODEM,B,2002
ODESSA,A,1998
OLD RIVER WINFREE,B,2011
OLMOS PARK,B,2024
OLNEY,A,1997
OLTON,B,1997
OMAHA,A&B,2012
ORANGE,B,2003
ORCHARD,A&B,2004
ORE CITY,A,2008
OVERTON,A&B,1997
OVILLA,B,2008
OYSTER CREEK,B,1998
PADUCAH,A&B,1999
PALACIOS,A&B,1997
PALESTINE,B,1999
PALMER,B,1999
PALMVIEW,A,1997
PAMPA,A&B,1997
PANHANDLE,A&B,1997
PANTEGO,B,1997
PARADISE,B,1998
PARIS,A,1997
PASADENA,B,1999
PEARLAND,B,1997
PECOS,A&B,2000
PENITAS,A&B,1997
PERRYTON,A,1997
PETERSBURG,B,2014
PFLUGERVILLE,B,2002
PHARR,A&B,1997
PILOT POINT,B,1997
PITTSBURG,B,1997
PLAINS,A&B,2005
POINT,B,2003
PONDER,B,2003
PORT ARANSAS,B,1997
PORT ARTHUR,A,1997
PORT ISABEL,B,1997
PORT NECHES,B,2001
PORTLAND,B,1997
POST,B,2004
POTH,B,2000
POTTSBORO,A&B,1999
PRAIRIE VIEW,A&B,2000
PRESIDIO,B,1997
PRIMERA,A&B,2001
PRINCETON,A&B,1998
